"U1","U2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.2731e-12,-1.2731e-12,1,0,0,0.5,0.25
-8.7704e-13,-8.7704e-13,1,0.004,0.004,0.5,0.25
-2.3725e-13,-2.3725e-13,1,0.008,0.008,0.5,0.25
6.4625e-13,6.4625e-13,1,0.012,0.012,0.5,0.25
1.7735e-12,1.7735e-12,1,0.016,0.016,0.5,0.25
3.1444e-12,3.1444e-12,1,0.02,0.02,0.5,0.25
4.759e-12,4.759e-12,1,0.024,0.024,0.5,0.25
6.6174e-12,6.6174e-12,1,0.028,0.028,0.5,0.25
8.7195e-12,8.7195e-12,1,0.032,0.032,0.5,0.25
1.1065e-11,1.1065e-11,1,0.036,0.036,0.5,0.25
1.3655e-11,1.3655e-11,1,0.04,0.04,0.5,0.25
1.6488e-11,1.6488e-11,1,0.044,0.044,0.5,0.25
1.9565e-11,1.9565e-11,1,0.048,0.048,0.5,0.25
2.2886e-11,2.2886e-11,1,0.052,0.052,0.5,0.25
2.645e-11,2.645e-11,1,0.056,0.056,0.5,0.25
3.0258e-11,3.0258e-11,1,0.06,0.06,0.5,0.25
3.431e-11,3.431e-11,1,0.064,0.064,0.5,0.25
3.8606e-11,3.8606e-11,1,0.068,0.068,0.5,0.25
4.3145e-11,4.3145e-11,1,0.072,0.072,0.5,0.25
4.7928e-11,4.7928e-11,1,0.076,0.076,0.5,0.25
5.2955e-11,5.2955e-11,1,0.08,0.08,0.5,0.25
5.8225e-11,5.8225e-11,1,0.084,0.084,0.5,0.25
-2.8445e-10,-2.8445e-10,1,0.088,0.088,0.5,0.25
-3.0269e-10,-3.0269e-10,1,0.092,0.092,0.5,0.25
-3.1957e-10,-3.1957e-10,1,0.096,0.096,0.5,0.25
-3.3508e-10,-3.3508e-10,1,0.1,0.1,0.5,0.25
-3.4924e-10,-3.4924e-10,1,0.104,0.104,0.5,0.25
-3.6203e-10,-3.6203e-10,1,0.108,0.108,0.5,0.25
-3.7346e-10,-3.7346e-10,1,0.112,0.112,0.5,0.25
-3.8354e-10,-3.8354e-10,1,0.116,0.116,0.5,0.25
-3.9225e-10,-3.9225e-10,1,0.12,0.12,0.5,0.25
-3.996e-10,-3.996e-10,1,0.124,0.124,0.5,0.25
-5.946e-10,-5.946e-10,1,0.128,0.128,0.5,0.25
-5.528e-10,-5.528e-10,1,0.132,0.132,0.5,0.25
-5.093e-10,-5.093e-10,1,0.136,0.136,0.5,0.25
-4.6409e-10,-4.6409e-10,1,0.14,0.14,0.5,0.25
-4.1716e-10,-4.1716e-10,1,0.144,0.144,0.5,0.25
-3.6853e-10,-3.6853e-10,1,0.148,0.148,0.5,0.25
-3.1818e-10,-3.1818e-10,1,0.152,0.152,0.5,0.25
-2.6612e-10,-2.6612e-10,1,0.156,0.156,0.5,0.25
-2.1235e-10,-2.1235e-10,1,0.16,0.16,0.5,0.25
-1.5687e-10,-1.5687e-10,1,0.164,0.164,0.5,0.25
-9.9676e-11,-9.9676e-11,1,0.168,0.168,0.5,0.25
6.4954e-10,6.4954e-10,1,0.172,0.172,0.5,0.25
7.4921e-10,7.4921e-10,1,0.176,0.176,0.5,0.25
8.422e-10,8.422e-10,1,0.18,0.18,0.5,0.25
9.285e-10,9.285e-10,1,0.184,0.184,0.5,0.25
1.0081e-09,1.0081e-09,1,0.188,0.188,0.5,0.25
1.0811e-09,1.0811e-09,1,0.192,0.192,0.5,0.25
1.1473e-09,1.1473e-09,1,0.196,0.196,0.5,0.25
1.4716e-09,1.4716e-09,1,0.2,0.2,0.5,0.25
1.7269e-09,1.7269e-09,1,0.204,0.204,0.5,0.25
1.9575e-09,1.9575e-09,1,0.208,0.208,0.5,0.25
2.1636e-09,2.1636e-09,1,0.212,0.212,0.5,0.25
-3.0016e-09,-3.0015e-09,1,0.216,0.216,0.5,0.25
-9.3796e-09,-9.3795e-09,1,0.22,0.22,0.5,0.25
-1.6089e-08,-1.6089e-08,1,0.224,0.224,0.5,0.25
-2.3129e-08,-2.3129e-08,1,0.228,0.228,0.5,0.25
-3.05e-08,-3.05e-08,1,0.232,0.232,0.5,0.25
-2.8432e-07,-2.8432e-07,1,0.236,0.236,0.5,0.25
-2.3739e-07,-2.3739e-07,1,0.24,0.24,0.5,0.25
-1.9098e-07,-1.9098e-07,1,0.244,0.244,0.5,0.25
-1.4508e-07,-1.4508e-07,1,0.248,0.248,0.5,0.25
-9.9686e-08,-9.9686e-08,1,0.252,0.252,0.5,0.25
-5.4809e-08,-5.4809e-08,1,0.256,0.256,0.5,0.25
-1.0444e-08,-1.0444e-08,1,0.26,0.26,0.5,0.25
3.3408e-08,3.3408e-08,1,0.264,0.264,0.5,0.25
7.6749e-08,7.6749e-08,1,0.268,0.268,0.5,0.25
1.1958e-07,1.1958e-07,1,0.272,0.272,0.5,0.25
1.6189e-07,1.6189e-07,1,0.276,0.276,0.5,0.25
2.037e-07,2.037e-07,1,0.28,0.28,0.5,0.25
2.4499e-07,2.4499e-07,1,0.284,0.284,0.5,0.25
2.8577e-07,2.8577e-07,1,0.288,0.288,0.5,0.25
2.1592e-06,2.1592e-06,1,0.292,0.292,0.5,0.25
2.0324e-06,2.0324e-06,1,0.296,0.296,0.5,0.25
1.9173e-06,1.9173e-06,1,0.3,0.3,0.5,0.25
1.8139e-06,1.8139e-06,1,0.304,0.304,0.5,0.25
1.7223e-06,1.7223e-06,1,0.308,0.308,0.5,0.25
1.6425e-06,1.6425e-06,1,0.312,0.312,0.5,0.25
1.5744e-06,1.5744e-06,1,0.316,0.316,0.5,0.25
1.518e-06,1.518e-06,1,0.32,0.32,0.5,0.25
