"U1","U2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.429e-11,4.429e-11,1,0,0,0.5,0.25
4.5794e-11,4.5794e-11,1,0.004,0.004,0.5,0.25
4.7666e-11,4.7666e-11,1,0.008,0.008,0.5,0.25
4.9906e-11,4.9906e-11,1,0.012,0.012,0.5,0.25
5.2515e-11,5.2515e-11,1,0.016,0.016,0.5,0.25
5.5492e-11,5.5492e-11,1,0.02,0.02,0.5,0.25
5.8838e-11,5.8838e-11,1,0.024,0.024,0.5,0.25
6.2551e-11,6.2551e-11,1,0.028,0.028,0.5,0.25
6.6633e-11,6.6633e-11,1,0.032,0.032,0.5,0.25
7.1083e-11,7.1083e-11,1,0.036,0.036,0.5,0.25
7.5902e-11,7.5902e-11,1,0.04,0.04,0.5,0.25
8.1089e-11,8.1089e-11,1,0.044,0.044,0.5,0.25
8.6644e-11,8.6644e-11,1,0.048,0.048,0.5,0.25
9.2567e-11,9.2567e-11,1,0.052,0.052,0.5,0.25
9.8859e-11,9.8859e-11,1,0.056,0.056,0.5,0.25
1.0552e-10,1.0552e-10,1,0.06,0.06,0.5,0.25
1.1255e-10,1.1255e-10,1,0.064,0.064,0.5,0.25
1.1994e-10,1.1994e-10,1,0.068,0.068,0.5,0.25
1.2771e-10,1.2771e-10,1,0.072,0.072,0.5,0.25
1.3584e-10,1.3584e-10,1,0.076,0.076,0.5,0.25
1.4434e-10,1.4434e-10,1,0.08,0.08,0.5,0.25
1.5321e-10,1.5321e-10,1,0.084,0.084,0.5,0.25
-1.649e-10,-1.649e-10,1,0.088,0.088,0.5,0.25
-1.6743e-10,-1.6743e-10,1,0.092,0.092,0.5,0.25
-1.6676e-10,-1.6676e-10,1,0.096,0.096,0.5,0.25
-1.6289e-10,-1.6289e-10,1,0.1,0.1,0.5,0.25
-1.5582e-10,-1.5582e-10,1,0.104,0.104,0.5,0.25
-1.4555e-10,-1.4555e-10,1,0.108,0.108,0.5,0.25
-1.3208e-10,-1.3208e-10,1,0.112,0.112,0.5,0.25
-1.1541e-10,-1.1541e-10,1,0.116,0.116,0.5,0.25
-9.5538e-11,-9.5538e-11,1,0.12,0.12,0.5,0.25
-7.2461e-11,-7.2461e-11,1,0.124,0.124,0.5,0.25
-1.6256e-10,-1.6256e-10,1,0.128,0.128,0.5,0.25
-7.5414e-11,-7.5414e-11,1,0.132,0.132,0.5,0.25
1.4793e-11,1.4793e-11,1,0.136,0.136,0.5,0.25
1.0806e-10,1.0806e-10,1,0.14,0.14,0.5,0.25
2.0439e-10,2.0439e-10,1,0.144,0.144,0.5,0.25
3.0378e-10,3.0378e-10,1,0.148,0.148,0.5,0.25
4.0624e-10,4.0624e-10,1,0.152,0.152,0.5,0.25
5.1175e-10,5.1175e-10,1,0.156,0.156,0.5,0.25
6.2032e-10,6.2032e-10,1,0.16,0.16,0.5,0.25
7.3196e-10,7.3196e-10,1,0.164,0.164,0.5,0.25
8.4666e-10,8.4666e-10,1,0.168,0.168,0.5,0.25
3.9594e-09,3.9594e-09,1,0.172,0.172,0.5,0.25
3.6235e-09,3.6235e-09,1,0.176,0.176,0.5,0.25
3.257e-09,3.257e-09,1,0.18,0.18,0.5,0.25
