"U1","U2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-4.4839e-06,-4.4839e-06,1,0.36,0.36,0.5,0.25
-4.8956e-06,-4.8956e-06,1,0.364,0.364,0.5,0.25
-5.3073e-06,-5.3073e-06,1,0.368,0.368,0.5,0.25
-5.7189e-06,-5.7189e-06,1,0.372,0.372,0.5,0.25
-1.0992e-05,-1.0992e-05,1,0.376,0.376,0.5,0.25
-1.2379e-05,-1.2379e-05,1,0.38,0.38,0.5,0.25
-1.3767e-05,-1.3767e-05,1,0.384,0.384,0.5,0.25
-1.5154e-05,-1.5154e-05,1,0.388,0.388,0.5,0.25
-1.6541e-05,-1.6541e-05,1,0.392,0.392,0.5,0.25
-1.7929e-05,-1.7929e-05,1,0.396,0.396,0.5,0.25
-1.9316e-05,-1.9316e-05,1,0.4,0.4,0.5,0.25
-2.0703e-05,-2.0703e-05,1,0.404,0.404,0.5,0.25
-2.2091e-05,-2.2091e-05,1,0.408,0.408,0.5,0.25
-2.3478e-05,-2.3478e-05,1,0.412,0.412,0.5,0.25
-2.4865e-05,-2.4865e-05,1,0.416,0.416,0.5,0.25
-2.6253e-05,-2.6253e-05,1,0.42,0.42,0.5,0.25
-2.764e-05,-2.764e-05,1,0.424,0.424,0.5,0.25
-2.9027e-05,-2.9027e-05,1,0.428,0.428,0.5,0.25
-3.0415e-05,-3.0415e-05,1,0.432,0.432,0.5,0.25
-4.7792e-05,-4.7792e-05,1,0.436,0.436,0.5,0.25
-4.8047e-05,-4.8047e-05,1,0.44,0.44,0.5,0.25
-4.8302e-05,-4.8302e-05,1,0.444,0.444,0.5,0.25
-4.8557e-05,-4.8557e-05,1,0.448,0.448,0.5,0.25
-4.8812e-05,-4.8812e-05,1,0.452,0.452,0.5,0.25
-4.9067e-05,-4.9067e-05,1,0.456,0.456,0.5,0.25
-4.9322e-05,-4.9322e-05,1,0.46,0.46,0.5,0.25
-4.9577e-05,-4.9577e-05,1,0.464,0.464,0.5,0.25
-0.00022813,-0.00022813,1,0.468,0.468,0.5,0.25
-0.00021491,-0.00021491,1,0.472,0.472,0.5,0.25
-0.00020169,-0.00020169,1,0.476,0.476,0.5,0.25
-0.00018847,-0.00018847,1,0.48,0.48,0.5,0.25
-0.00017525,-0.00017525,1,0.484,0.484,0.5,0.25
-0.00016203,-0.00016203,1,0.488,0.488,0.5,0.25
-0.00014881,-0.00014881,1,0.492,0.492,0.5,0.25
-0.00013559,-0.00013559,1,0.496,0.496,0.5,0.25
-0.00012237,-0.00012237,1,0.5,0.5,0.5,0.25
-0.00010915,-0.00010915,1,0.504,0.504,0.5,0.25
-9.5925e-05,-9.5925e-05,1,0.508,0.508,0.5,0.25
-8.2704e-05,-8.2704e-05,1,0.512,0.512,0.5,0.25
-6.9484e-05,-6.9484e-05,1,0.516,0.516,0.5,0.25
-5.6264e-05,-5.6264e-05,1,0.52,0.52,0.5,0.25
-4.3043e-05,-4.3043e-05,1,0.524,0.524,0.5,0.25
-2.9823e-05,-2.9823e-05,1,0.528,0.528,0.5,0.25
-1.6602e-05,-1.6602e-05,1,0.532,0.532,0.5,0.25
-3.3801e-06,-3.3801e-06,1,0.536,0.536,0.5,0.25
9.8407e-06,9.8407e-06,1,0.54,0.54,0.5,0.25
2.3062e-05,2.3062e-05,1,0.544,0.544,0.5,0.25
3.6282e-05,3.6282e-05,1,0.548,0.548,0.5,0.25
4.9503e-05,4.9503e-05,1,0.552,0.552,0.5,0.25
6.2724e-05,6.2724e-05,1,0.556,0.556,0.5,0.25
7.5945e-05,7.5945e-05,1,0.56,0.56,0.5,0.25
8.9165e-05,8.9165e-05,1,0.564,0.564,0.5,0.25
0.00010239,0.00010239,1,0.568,0.568,0.5,0.25
0.00011561,0.00011561,1,0.572,0.572,0.5,0.25
0.00012883,0.00012883,1,0.576,0.576,0.5,0.25
0.00014205,0.00014205,1,0.58,0.58,0.5,0.25
0.00017613,0.00017613,1,0.584,0.584,0.5,0.25
0.00023091,0.00023091,1,0.588,0.588,0.5,0.25
0.00028186,0.00028186,1,0.592,0.592,0.5,0.25
0.00033281,0.00033281,1,0.596,0.596,0.5,0.25
0.00038377,0.00038377,1,0.6,0.6,0.5,0.25
0.00035403,0.00035403,1,0.604,0.604,0.5,0.25
0.00043023,0.00043023,1,0.608,0.608,0.5,0.25
0.00050644,0.00050644,1,0.612,0.612,0.5,0.25
0.00058264,0.00058264,1,0.616,0.616,0.5,0.25
0.00065885,0.00065885,1,0.62,0.62,0.5,0.25
0.00073505,0.00073505,1,0.624,0.624,0.5,0.25
0.00081126,0.00081126,1,0.628,0.628,0.5,0.25
0.00088746,0.00088746,1,0.632,0.632,0.5,0.25
0.00096367,0.00096367,1,0.636,0.636,0.5,0.25
0.0010399,0.0010399,1,0.64,0.64,0.5,0.25
0.00093701,0.00093701,1,0.644,0.644,0.5,0.25
0.0010977,0.0010977,1,0.648,0.648,0.5,0.25
3.4159e-05,3.4159e-05,1,0.652,0.652,0.5,0.25
