"Density","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.67984,1,0.685,0.685,0.5,0.25
0.6735,1,0.69,0.69,0.5,0.25
0.66704,1,0.695,0.695,0.5,0.25
0.66045,1,0.7,0.7,0.5,0.25
0.65375,1,0.705,0.705,0.5,0.25
0.64692,1,0.71,0.71,0.5,0.25
0.63997,1,0.715,0.715,0.5,0.25
0.63289,1,0.72,0.72,0.5,0.25
0.6257,1,0.725,0.725,0.5,0.25
0.61838,1,0.73,0.73,0.5,0.25
0.61093,1,0.735,0.735,0.5,0.25
0.60337,1,0.74,0.74,0.5,0.25
0.59569,1,0.745,0.745,0.5,0.25
0.58788,1,0.75,0.75,0.5,0.25
0.57996,1,0.755,0.755,0.5,0.25
0.57192,1,0.76,0.76,0.5,0.25
0.56376,1,0.765,0.765,0.5,0.25
0.55549,1,0.77,0.77,0.5,0.25
0.54709,1,0.775,0.775,0.5,0.25
0.53859,1,0.78,0.78,0.5,0.25
0.52947,1,0.785,0.785,0.5,0.25
0.52375,1,0.79,0.79,0.5,0.25
0.5164,1,0.795,0.795,0.5,0.25
0.51012,1,0.8,0.8,0.5,0.25
0.50384,1,0.805,0.805,0.5,0.25
0.49757,1,0.81,0.81,0.5,0.25
0.49129,1,0.815,0.815,0.5,0.25
0.48501,1,0.82,0.82,0.5,0.25
0.47873,1,0.825,0.825,0.5,0.25
0.47246,1,0.83,0.83,0.5,0.25
0.46618,1,0.835,0.835,0.5,0.25
0.45991,1,0.84,0.84,0.5,0.25
0.45363,1,0.845,0.845,0.5,0.25
0.44736,1,0.85,0.85,0.5,0.25
0.44108,1,0.855,0.855,0.5,0.25
0.43481,1,0.86,0.86,0.5,0.25
0.42854,1,0.865,0.865,0.5,0.25
0.42226,1,0.87,0.87,0.5,0.25
0.41599,1,0.875,0.875,0.5,0.25
0.40971,1,0.88,0.88,0.5,0.25
0.40479,1,0.885,0.885,0.5,0.25
0.39974,1,0.89,0.89,0.5,0.25
0.39468,1,0.895,0.895,0.5,0.25
0.38961,1,0.9,0.9,0.5,0.25
0.38454,1,0.905,0.905,0.5,0.25
0.37945,1,0.91,0.91,0.5,0.25
0.37435,1,0.915,0.915,0.5,0.25
0.36924,1,0.92,0.92,0.5,0.25
0.36412,1,0.925,0.925,0.5,0.25
0.359,1,0.93,0.93,0.5,0.25
0.35387,1,0.935,0.935,0.5,0.25
0.34873,1,0.94,0.94,0.5,0.25
0.34358,1,0.945,0.945,0.5,0.25
0.33841,1,0.95,0.95,0.5,0.25
0.33323,1,0.955,0.955,0.5,0.25
0.32804,1,0.96,0.96,0.5,0.25
0.32285,1,0.965,0.965,0.5,0.25
0.31765,1,0.97,0.97,0.5,0.25
0.31243,1,0.975,0.975,0.5,0.25
0.3072,1,0.98,0.98,0.5,0.25
0.30197,1,0.985,0.985,0.5,0.25
0.29975,1,0.99,0.99,0.5,0.25
0.29669,1,0.995,0.995,0.5,0.25
0.2935,1,1,1,0.5,0.25
0.29017,1,1.005,1.005,0.5,0.25
0.2867,1,1.01,1.01,0.5,0.25
0.28309,1,1.015,1.015,0.5,0.25
0.27935,1,1.02,1.02,0.5,0.25
0.27547,1,1.025,1.025,0.5,0.25
0.27145,1,1.03,1.03,0.5,0.25
0.2673,1,1.035,1.035,0.5,0.25
0.263,1,1.04,1.04,0.5,0.25
0.25857,1,1.045,1.045,0.5,0.25
0.25401,1,1.05,1.05,0.5,0.25
0.2493,1,1.055,1.055,0.5,0.25
0.24445,1,1.06,1.06,0.5,0.25
0.23947,1,1.065,1.065,0.5,0.25
0.23436,1,1.07,1.07,0.5,0.25
0.2291,1,1.075,1.075,0.5,0.25
0.22371,1,1.08,1.08,0.5,0.25
0.22117,1,1.085,1.085,0.5,0.25
0.21616,1,1.09,1.09,0.5,0.25
0.21296,1,1.095,1.095,0.5,0.25
0.20976,1,1.1,1.1,0.5,0.25
0.20656,1,1.105,1.105,0.5,0.25
0.20337,1,1.11,1.11,0.5,0.25
0.20018,1,1.115,1.115,0.5,0.25
0.19699,1,1.12,1.12,0.5,0.25
0.19381,1,1.125,1.125,0.5,0.25
0.19063,1,1.13,1.13,0.5,0.25
0.18746,1,1.135,1.135,0.5,0.25
0.18429,1,1.14,1.14,0.5,0.25
0.18112,1,1.145,1.145,0.5,0.25
0.17795,1,1.15,1.15,0.5,0.25
0.17479,1,1.155,1.155,0.5,0.25
0.17163,1,1.16,1.16,0.5,0.25
0.16848,1,1.165,1.165,0.5,0.25
