"Density","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.75936,1,0.7,0.7,0.5,0.25
0.75217,1,0.705,0.705,0.5,0.25
0.74162,1,0.71,0.71,0.5,0.25
0.7336,1,0.715,0.715,0.5,0.25
0.72575,1,0.72,0.72,0.5,0.25
0.71645,1,0.725,0.725,0.5,0.25
0.70882,1,0.73,0.73,0.5,0.25
0.70119,1,0.735,0.735,0.5,0.25
0.69355,1,0.74,0.74,0.5,0.25
0.68592,1,0.745,0.745,0.5,0.25
0.67829,1,0.75,0.75,0.5,0.25
0.67065,1,0.755,0.755,0.5,0.25
0.66302,1,0.76,0.76,0.5,0.25
0.65539,1,0.765,0.765,0.5,0.25
0.64775,1,0.77,0.77,0.5,0.25
0.64012,1,0.775,0.775,0.5,0.25
0.63249,1,0.78,0.78,0.5,0.25
0.62485,1,0.785,0.785,0.5,0.25
0.61722,1,0.79,0.79,0.5,0.25
0.60959,1,0.795,0.795,0.5,0.25
0.60195,1,0.8,0.8,0.5,0.25
0.59348,1,0.805,0.805,0.5,0.25
0.58573,1,0.81,0.81,0.5,0.25
0.57877,1,0.815,0.815,0.5,0.25
0.5718,1,0.82,0.82,0.5,0.25
0.56484,1,0.825,0.825,0.5,0.25
0.55788,1,0.83,0.83,0.5,0.25
0.55092,1,0.835,0.835,0.5,0.25
0.54396,1,0.84,0.84,0.5,0.25
0.53699,1,0.845,0.845,0.5,0.25
0.53003,1,0.85,0.85,0.5,0.25
0.52307,1,0.855,0.855,0.5,0.25
0.51462,1,0.86,0.86,0.5,0.25
0.50768,1,0.865,0.865,0.5,0.25
0.50075,1,0.87,0.87,0.5,0.25
0.49381,1,0.875,0.875,0.5,0.25
0.48688,1,0.88,0.88,0.5,0.25
0.47994,1,0.885,0.885,0.5,0.25
0.47301,1,0.89,0.89,0.5,0.25
0.46575,1,0.895,0.895,0.5,0.25
0.45882,1,0.9,0.9,0.5,0.25
0.4517,1,0.905,0.905,0.5,0.25
0.44542,1,0.91,0.91,0.5,0.25
0.43744,1,0.915,0.915,0.5,0.25
0.43117,1,0.92,0.92,0.5,0.25
0.4249,1,0.925,0.925,0.5,0.25
0.41863,1,0.93,0.93,0.5,0.25
0.41235,1,0.935,0.935,0.5,0.25
0.40608,1,0.94,0.94,0.5,0.25
0.39981,1,0.945,0.945,0.5,0.25
0.39354,1,0.95,0.95,0.5,0.25
0.38727,1,0.955,0.955,0.5,0.25
0.381,1,0.96,0.96,0.5,0.25
0.37472,1,0.965,0.965,0.5,0.25
0.36845,1,0.97,0.97,0.5,0.25
0.36218,1,0.975,0.975,0.5,0.25
0.35591,1,0.98,0.98,0.5,0.25
0.34963,1,0.985,0.985,0.5,0.25
0.34361,1,0.99,0.99,0.5,0.25
0.33753,1,0.995,0.995,0.5,0.25
0.33176,1,1,1,0.5,0.25
0.32599,1,1.005,1.005,0.5,0.25
0.32022,1,1.01,1.01,0.5,0.25
0.31445,1,1.015,1.015,0.5,0.25
0.30868,1,1.02,1.02,0.5,0.25
0.30295,1,1.025,1.025,0.5,0.25
0.29751,1,1.03,1.03,0.5,0.25
0.29208,1,1.035,1.035,0.5,0.25
0.28664,1,1.04,1.04,0.5,0.25
0.28121,1,1.045,1.045,0.5,0.25
0.27577,1,1.05,1.05,0.5,0.25
0.27034,1,1.055,1.055,0.5,0.25
0.2649,1,1.06,1.06,0.5,0.25
0.25936,1,1.065,1.065,0.5,0.25
0.25401,1,1.07,1.07,0.5,0.25
0.24866,1,1.075,1.075,0.5,0.25
0.2433,1,1.08,1.08,0.5,0.25
0.23795,1,1.085,1.085,0.5,0.25
0.2326,1,1.09,1.09,0.5,0.25
0.22725,1,1.095,1.095,0.5,0.25
