"U","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-10,1,0.0278,1.9278,0.5,0.25
-10,1,0.028,1.928,0.5,0.25
-10,1,0.0282,1.9282,0.5,0.25
-10,1,0.0284,1.9284,0.5,0.25
-10,1,0.0286,1.9286,0.5,0.25
-10,1,0.0288,1.9288,0.5,0.25
-10,1,0.029,1.929,0.5,0.25
-10,1,0.0292,1.9292,0.5,0.25
-10,1,0.0294,1.9294,0.5,0.25
-10,1,0.0296,1.9296,0.5,0.25
-10,1,0.0298,1.9298,0.5,0.25
-10,1,0.03,1.93,0.5,0.25
-10,1,0.0302,1.9302,0.5,0.25
-10,1,0.0304,1.9304,0.5,0.25
-10,1,0.0306,1.9306,0.5,0.25
-10,1,0.0308,1.9308,0.5,0.25
-10,1,0.031,1.931,0.5,0.25
-10,1,0.0312,1.9312,0.5,0.25
-10,1,0.0314,1.9314,0.5,0.25
-10,1,0.0316,1.9316,0.5,0.25
-10,1,0.0318,1.9318,0.5,0.25
-10,1,0.032,1.932,0.5,0.25
-10,1,0.0322,1.9322,0.5,0.25
-10,1,0.0324,1.9324,0.5,0.25
-10,1,0.0326,1.9326,0.5,0.25
-10,1,0.0328,1.9328,0.5,0.25
-10,1,0.033,1.933,0.5,0.25
-10,1,0.0332,1.9332,0.5,0.25
-10,1,0.0334,1.9334,0.5,0.25
-10,1,0.0336,1.9336,0.5,0.25
-10,1,0.0338,1.9338,0.5,0.25
-10,1,0.034,1.934,0.5,0.25
-10,1,0.0342,1.9342,0.5,0.25
-10,1,0.0344,1.9344,0.5,0.25
-10,1,0.0346,1.9346,0.5,0.25
-10,1,0.0348,1.9348,0.5,0.25
-10,1,0.035,1.935,0.5,0.25
-10,1,0.0352,1.9352,0.5,0.25
-10,1,0.0354,1.9354,0.5,0.25
-10,1,0.0356,1.9356,0.5,0.25
-10,1,0.0358,1.9358,0.5,0.25
-10,1,0.036,1.936,0.5,0.25
-10,1,0.0362,1.9362,0.5,0.25
-10,1,0.0364,1.9364,0.5,0.25
-10,1,0.0366,1.9366,0.5,0.25
-10,1,0.0368,1.9368,0.5,0.25
-10,1,0.037,1.937,0.5,0.25
-10,1,0.0372,1.9372,0.5,0.25
-10,1,0.0374,1.9374,0.5,0.25
-10,1,0.0376,1.9376,0.5,0.25
-10,1,0.0378,1.9378,0.5,0.25
-10,1,0.038,1.938,0.5,0.25
-10,1,0.0382,1.9382,0.5,0.25
-10,1,0.0384,1.9384,0.5,0.25
-10,1,0.0386,1.9386,0.5,0.25
-10,1,0.0388,1.9388,0.5,0.25
-10,1,0.039,1.939,0.5,0.25
-10,1,0.0392,1.9392,0.5,0.25
-10,1,0.0394,1.9394,0.5,0.25
