"U","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-10,1,0.6,0.6,0.5,0.25
-10,1,0.604,0.604,0.5,0.25
-10,1,0.608,0.608,0.5,0.25
-10,1,0.612,0.612,0.5,0.25
-10,1,0.616,0.616,0.5,0.25
-10,1,0.62,0.62,0.5,0.25
-10,1,0.624,0.624,0.5,0.25
-10,1,0.628,0.628,0.5,0.25
-10,1,0.632,0.632,0.5,0.25
-10,1,0.636,0.636,0.5,0.25
-10,1,0.64,0.64,0.5,0.25
-10,1,0.644,0.644,0.5,0.25
-10,1,0.648,0.648,0.5,0.25
-10,1,0.652,0.652,0.5,0.25
-10,1,0.656,0.656,0.5,0.25
-10,1,0.66,0.66,0.5,0.25
-10,1,0.664,0.664,0.5,0.25
-10,1,0.668,0.668,0.5,0.25
-10,1,0.672,0.672,0.5,0.25
-10,1,0.676,0.676,0.5,0.25
-10,1,0.68,0.68,0.5,0.25
-10,1,0.684,0.684,0.5,0.25
-10,1,0.688,0.688,0.5,0.25
-10,1,0.692,0.692,0.5,0.25
-10,1,0.696,0.696,0.5,0.25
-10,1,0.7,0.7,0.5,0.25
-10,1,0.704,0.704,0.5,0.25
-10,1,0.708,0.708,0.5,0.25
-10,1,0.712,0.712,0.5,0.25
-10,1,0.716,0.716,0.5,0.25
-10,1,0.72,0.72,0.5,0.25
-10,1,0.724,0.724,0.5,0.25
-10,1,0.728,0.728,0.5,0.25
-10,1,0.732,0.732,0.5,0.25
-10,1,0.736,0.736,0.5,0.25
-10,1,0.74,0.74,0.5,0.25
-10,1,0.744,0.744,0.5,0.25
-10,1,0.748,0.748,0.5,0.25
-10,1,0.752,0.752,0.5,0.25
-10,1,0.756,0.756,0.5,0.25
-10,1,0.76,0.76,0.5,0.25
-10,1,0.764,0.764,0.5,0.25
-10,1,0.768,0.768,0.5,0.25
-10,1,0.772,0.772,0.5,0.25
-10,1,0.776,0.776,0.5,0.25
-10,1,0.78,0.78,0.5,0.25
-10,1,0.784,0.784,0.5,0.25
-10,1,0.788,0.788,0.5,0.25
-10,1,0.792,0.792,0.5,0.25
-10,1,0.796,0.796,0.5,0.25
-10,1,0.8,0.8,0.5,0.25
-10,1,0.804,0.804,0.5,0.25
-10,1,0.808,0.808,0.5,0.25
-10,1,0.812,0.812,0.5,0.25
-10,1,0.816,0.816,0.5,0.25
-10,1,0.82,0.82,0.5,0.25
-10,1,0.824,0.824,0.5,0.25
-10,1,0.828,0.828,0.5,0.25
-10,1,0.832,0.832,0.5,0.25
-10,1,0.836,0.836,0.5,0.25
-10,1,0.84,0.84,0.5,0.25
-10,1,0.844,0.844,0.5,0.25
-10,1,0.848,0.848,0.5,0.25
-10,1,0.852,0.852,0.5,0.25
-10,1,0.856,0.856,0.5,0.25
-10,1,0.86,0.86,0.5,0.25
-10,1,0.864,0.864,0.5,0.25
-10,1,0.868,0.868,0.5,0.25
-10,1,0.872,0.872,0.5,0.25
-10,1,0.876,0.876,0.5,0.25
-10,1,0.88,0.88,0.5,0.25
-10,1,0.884,0.884,0.5,0.25
-10,1,0.888,0.888,0.5,0.25
-10,1,0.892,0.892,0.5,0.25
-10,1,0.896,0.896,0.5,0.25
-10,1,0.9,0.9,0.5,0.25
-10,1,0.904,0.904,0.5,0.25
-10,1,0.908,0.908,0.5,0.25
-10,1,0.912,0.912,0.5,0.25
-10,1,0.916,0.916,0.5,0.25
-10,1,0.92,0.92,0.5,0.25
-10,1,0.924,0.924,0.5,0.25
-10,1,0.928,0.928,0.5,0.25
-10,1,0.932,0.932,0.5,0.25
-10,1,0.936,0.936,0.5,0.25
-10,1,0.94,0.94,0.5,0.25
-10,1,0.944,0.944,0.5,0.25
-10,1,0.948,0.948,0.5,0.25
-10,1,0.952,0.952,0.5,0.25
-10,1,0.956,0.956,0.5,0.25
